"","metric","AIM","CC-FM","CC-FSPR","Ensemble","ES-FM","ES-Frecent","ES-FSPR","ES-Fstable","Islope","Itarget","PlanB","Skate"
"33","f_s_n_gr_fmsy",-1.17417257678224,1.26435736055171,1.64791995311234,-0.413734104163475,-0.0830693305269211,-0.00699626155134443,0.523733215662566,-1.13925168757663,-0.347011753086442,1.07255060431705,0.159214286570616,-1.50353970652723
"34","f_s_n_less_f_dot_1_bmsy",-1.18282782206553,0.728292611387973,0.998869933520803,0.354702648467243,-0.500832228413617,0.933848625445916,-0.157430388379135,-1.21419529952215,0.339860425872592,0.417859049585356,1.18640561747668,-1.90455317337614
"35","f_s_n_less_f_dot_5_bmsy",-1.32084821057897,1.04397751703233,1.4085908938236,-0.241584973813015,-0.0364225298938034,0.415262431123088,0.304921426647955,-1.29238903242777,0.0171394220429692,0.765255114509103,0.699736922883729,-1.76363898134921
"36","f_s_n_less_fmsy",-1.17417257678224,1.26435736055171,1.64791995311234,-0.413734104163475,-0.0830693305269211,-0.00699626155134443,0.523733215662565,-1.13925168757663,-0.347011753086442,1.07255060431705,0.159214286570616,-1.50353970652724
"37","ssb_l_avg_ssb_ssbmsy",-0.749791633353297,1.53795678965279,2.34067224018588,-0.409590100628218,-0.477670128597192,-0.0523365121499445,-0.205407319587864,-0.745637400090099,-0.536552815642548,-0.172586113552026,0.490219840073849,-1.01927684631134
"38","ssb_l_is_ge_bmsy",-0.689915573148925,1.37770956160611,1.82322933199616,-0.202703467050353,-0.189547158097906,-0.417645358459105,0.100918608120145,-0.683132791650247,-1.20689675555751,1.1753988549358,0.212622332548674,-1.30003758524284
"39","ssb_l_is_less_01_bmsy",-0.243328849398307,0.752444718217415,1.93195061877508,-0.566450944931241,0.518435853837671,-0.272011523559591,0.944799209089744,-0.342251593630479,-1.52601326645968,-0.5091864032229,0.691142816356017,-1.37953063507373
"40","ssb_l_is_less_05_bmsy",-0.923362226837984,0.935544425889563,2.00667736336096,-0.393021784719836,-0.145647258245681,0.363826022492358,0.559953236625346,-0.961841953017841,-0.530793994757525,-0.764389808370667,1.11434916140098,-1.26129318381968
"41","ssb_l_n_ge_bmsy",-0.891475876775984,1.42508081427915,2.17201569637962,-0.334721684362479,-0.354555974574743,0.0346436838684512,0.075769278096348,-0.891541725815062,-0.669339564066475,-0.038477448130744,0.692506665529351,-1.21990386442743
"42","ssb_l_n_less_01_bmsy",0.233104657952776,0.919352821603577,1.63869624368507,-0.660242979555396,-0.0222561907973828,-0.69001711701804,0.315159352926953,0.222664710754663,-1.75245796067344,1.12921453597799,0.0812923250576466,-1.41451039991442
"43","ssb_l_n_less_05_bmsy",-0.662947734630136,1.23291812172061,2.04574125295298,-0.399129327646994,-0.0164529253937828,-0.235242269681376,0.501137121776863,-0.66410303030713,-1.20966775145075,0.281118125143436,0.569435078347423,-1.44280666083115
"44","ssb_s_avg_ssb_ssbmsy",-1.29461606686431,1.16518278395345,1.52460016823731,-0.0566872242018102,-0.505338419153037,0.526956446466077,-0.0952874424890008,-1.29211606736837,0.303509015612213,0.615342278530956,0.685336244938035,-1.57688171766152
"45","ssb_s_is_ge_bmsy",-1.06746506209223,1.29581744712775,1.81323288083027,-0.435924619409242,-0.221087061462867,-0.136528571836377,0.289615824880637,-1.0343073227432,-0.383331464843765,1.20256840005277,0.0509570856599924,-1.37354753616374
"46","ssb_s_is_less_01_bmsy",-1.02662502854299,0.686163772456103,0.99135930045387,0.382228188947468,-0.691763210888858,0.91313146497908,-0.330307212907368,-1.08199774625834,0.430910146672843,0.526198384343421,1.17708086148861,-1.97637892074384
"47","ssb_s_is_less_05_bmsy",-1.31856276296183,0.679409829424385,0.952772675530169,0.00563687266142588,-0.246715040064952,1.02009782254586,0.0763830583663927,-1.37939528451531,0.594102410521221,0.187670319679197,1.18578342181066,-1.75718332299722
"48","ssb_s_n_ge_bmsy",-1.34401055184055,1.03253355701683,1.4034530038498,-0.113674889009185,-0.463330321948626,0.677652843943129,-0.0232063436385841,-1.33283741927804,0.364784284270034,0.562629446175943,0.833026385450892,-1.59701999499163
"49","ssb_s_n_less_01_bmsy",-0.992721655267349,0.629289056051287,0.929321378003406,0.523394774816402,-0.632386976601936,0.844985207887705,-0.212577432772047,-1.03038291845324,0.315725868395984,0.645131480200578,1.10632152313703,-2.12610030539782
"50","ssb_s_n_less_05_bmsy",-1.29745107046899,0.828310554112097,1.16317541565095,0.119482559762909,-0.470776760993111,0.814284492363739,-0.117997582925434,-1.29471199642375,0.469355824630435,0.596969336192302,0.970023231216689,-1.78066400311783
